Ship type,Technical efficiency,Total fuel consumption [m tonnes],Total CO₂ emissions [m tonnes],CO₂ emissions from all voyages between diffrenet ports under a MS jurisdiction [m tonnes],CO₂ emissions produced when ships depart from various ports to start their journeys.under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages to destination ports under a MS jurisdiction [m tonnes],"CO₂ emissions while ships are in port, either docked or berthed under a MS jurisdiction at berth [m tonnes]",Annual Time spent at sea [hours],Annual average Fuel consumption per distance [kg / n mile],Annual average CO₂ emissions per distance [kg CO₂ / n mile],Distance Travelled by Ship(nmiles in thousands)
Passenger ship,31.75,3473.74,11071.53,8143.43,1098.95,946.93,882.22,2346.25,104.75,333.86,33.16
Other ship types,57.84,722.5,2289.71,89,997,1108,96,1324,58.5,185.39,12.35
Ro-pax ship,19.4,2509,8043.85,0,3365.23,3813,865.62,2207,84.95,272.35,29.54
Ro-ro ship,48.71,2776.01,8789.82,8321.74,0,0,468.08,3635,63.38,200.68,43.8
Ro-pax ship,50.15,3233.44,10366.39,10366.39,0,0,0,2492,94.85,304.1,34.09
Ro-pax ship,44.93,2928.66,9389.28,4862,1216.52,1617.94,1692.82,2053.08,135.88,435.62,21.55
Ro-ro ship,43,1462.58,4689.03,3979.2,0,0,709.9,2556.7,43.27,138.73,33.8
Ro-pax ship,45,3109.1,9967.77,8756.16,0,0,1211.86,2450,100.76,323.05,30.86
Other ship types,31.13,1439.9,4519.81,0,1753,2690,77,2238,56.63,177.76,25.43
Ro-pax ship,35.34,2883.95,9245.95,6290.95,0,0,2955.03,2176.3,109.42,350.81,26.36
Passenger ship,3.11,585.48,1877.05,1707.94,0,0,169.12,656.59,81.51,261.32,7.18
Ro-pax ship,44.89,5803.83,18197.06,18197.06,0,0,0,3560,124.83,391.38,46.49
Ro-pax ship,11.49,349.5,1111.89,129.62,495.64,449.23,37.39,351.15,94.14,299.51,3.71
Ro-pax ship,10.47,1833.4,5772.9,4320.39,0,0,1452.03,1000.56,130.35,410.44,14.07
Ro-pax ship,10.78,2899.46,9227.98,5165.07,1539.56,1557.48,965.88,2197.95,109.23,347.64,26.54
Ro-pax ship,5.93,6625.74,20702.51,19460.28,0,0,1242.22,1602.02,219.24,685.04,30.22
Ro-pax ship,5.56,5723.2,17930.94,14547.75,0,0,3383.19,1268,241.21,755.72,23.73
Other ship types,42.41,3359.6,10594.12,0,6401,4186,8,3220.9,84.23,265.61,39.89
Bulk carrier,8.54,3395.79,10688.86,0,4834.96,5683.83,170.08,4038.3,98.1,308.8,34.62
Ro-pax ship,52.12,4118.08,13030.64,10219.69,0,0,2810.96,2741.33,102.23,323.49,40.28
Other ship types,40.94,1945.2,6153.43,0,3651.4,2476.7,25.33,3512.13,48.43,153.21,40.17
Ro-pax ship,45.58,1113.87,3571.07,972.32,0,0,2598.77,547,118.26,379.13,9.42
Ro-ro ship,58.25,6288.29,19886.87,18114.27,0,0,1772.6,4558,118.16,373.67,53.22
Ro-pax ship,22.03,4001.84,12540.01,11698.99,0,245.02,596,3769.03,98.7,309.29,40.55
Ro-ro ship,22.27,2366.05,7495.67,0,3505.58,3269.75,720.34,2639.35,102.02,323.19,23.19
Ro-pax ship,38.12,2107.55,6756.81,3783.69,1114.25,990.37,868.51,1935.8,182.71,585.76,11.53
Ro-pax ship,3.00E+01,2721.15,8724,5359.83,540.53,540.5,2283,2298.82,104.46,334.89,26.05
Ro-pax ship,8.78,2870.18,9072.28,7424.03,0,0,1648.25,1633.97,145.83,460.95,19.68
Passenger ship,3.11,267.37,857.19,0,857.19,0,0,300,87.89,281.79,3.04
Ro-pax ship,9.15,1082.12,3469.28,2008.59,0,0,1460.69,425.7,161.32,517.19,6.71
Ro-pax ship,42.43,3970.54,12729.56,10629.05,0,0,2100.51,3613.62,89.41,286.64,44.41
Bulk carrier,17.9,4150.54,13271.42,10667.74,529.63,810.37,1263.69,5847.9,64.15,205.13,64.7
Ro-pax ship,44.97,3159.89,10130.6,0,4673.22,5129.38,327.53,3012.18,100,320.59,31.6
Ro-ro ship,51.54,3283.16,10525.81,10260.8,0,0,265.01,3679.3,70.29,225.36,46.71
Ro-ro ship,18.99,794.18,2546.14,2012.4,0,0,533.77,1773,46.12,147.88,17.22
Ro-pax ship,38,1847.15,5921.97,4748.73,0,293.35,879.88,3819.22,45.86,147.02,40.28
Ro-pax ship,47.92,5406.27,16950.81,0,6145,5740.8,5065,3288.02,136.45,427.83,39.62
Ro-pax ship,NA,2079.6,6667.19,6667.19,0,0,0,0,142.54,456.97,14.59
Ro-pax ship,36.1,5988.7,18930.76,0,8546.04,9391.06,993.67,3388.68,126,398.28,47.53
Ro-pax ship,18.6,284,910.51,0,176.33,42.67,692.49,44,489.66,1569.84,0.58
Ro-pax ship,33.03,5609.53,17612.3,17612.37,0,0,5026.04,1681.81,192.81,605.38,29.09
Ro-pax ship,33.1,6928.46,21757.18,5568.2,0,0,4417.76,1958.76,189.84,596.16,36.5
Ro-pax ship,51.21,10502.62,33243.85,29005.23,0,0,4238.61,5350.22,122.78,388.64,85.54
Other ship types,28.56,1234.96,3906.53,0,1739.37,2148.38,18.79,1707,73.08,231.17,16.9
Ro-pax ship,29.38,4288.07,13470.62,840.9,5434.61,6337.8,857.32,1763.97,173.87,546.19,24.66
Ro-pax ship,42.5,5245.11,16637.12,2211.32,5054.5,5183.22,4188.07,1743.9,241.34,765.52,21.73
Ro-pax ship,32.44,4821.52,15417.36,13613.54,0,0,1803.83,4497.52,77.98,249.34,61.83
Ro-pax ship,33.46,4929.15,15712.34,14008.47,0,0,1703.87,4197.55,85.27,271.8,57.81
Passenger ship,NA,9136.81,28590.74,13274.66,7101.1,5732.95,2482,3993.6,205.23,642.2,44.52
Ro-pax ship,32.1,8333.2,26509.09,297.03,12069,12340.26,1802.8,4494.37,131.63,418.74,63.31
Ro-pax ship,19,6222.4,19949.01,17200,0,0,2710,3429,123.95,397.39,50.2
Ro-pax ship,32.85,8497.03,27241.48,73.69,12606.79,12895.62,1665.4,4786.9,119.38,382.72,71.18
Ro-pax ship,41.24,10304.94,32605.05,29169.11,0,0,3435.93,5228.86,159.12,503.47,64.76
Ro-pax ship,33.71,17421.22,54934.38,53057.91,0,0,1876.48,6792.48,163.48,515.5,106.56
Ro-pax ship,33.39,18248.75,57543.88,54407.66,0,0,3136.19,7061.15,165.43,521.66,110.31
Passenger ship,NA,7090.11,22170.1,10873.14,3259.01,5424.56,2613.39,3169.5,215.53,673.94,32.9
Ro-pax ship,19.79,3502.27,11017.39,4286.45,2706.45,2679.66,1344.82,1922.83,151.18,475.58,23.17
Ro-pax ship,39.45,5909.1,18725.17,15408.94,0,0,3316.22,3503.59,131.09,415.41,45.08
Ro-pax ship,0,5973.47,19150.95,42.32,8899.56,9591.07,617.99,3875.82,117.42,376.44,50.87
General cargo ship,13.47,173.7,556.88,0,249,281,27,323,55.55,178.09,3.13
Bulk carrier,11.21,1770.49,5672.54,4204.38,0,0,1466.9,2702.9,60.02,192.29,29.5
Bulk carrier,5.32,2015.04,6328.37,3004.22,757.09,2163.59,403.47,2131.6,103.08,323.72,19.55
Other ship types,56.05,2932.66,9211.19,0,4042.97,4950.3,217.94,5686.2,68.33,214.63,42.92
Passenger ship,NA,488.86,1567.28,1185.9,108.59,34.46,238.33,1264,50.42,161.64,9.7
Ro-pax ship,59.9,3895.88,12490.19,12134.89,0,0,355.3,6179.66,48.31,154.89,80.64
Ro-ro ship,13.68,8178.08,25556.78,19470.5,2542,2084.94,1459.49,5717.8,104.64,327.01,78.15
Ro-pax ship,42.84,8106.33,25386.75,24030,0,0,1356.79,5938.65,100.26,313.99,80.85
Other ship types,15.05,3820.1,11929.72,503.89,5379.91,5832.08,213.84,3672.4,94.52,295.17,40.42
General cargo ship,11.16,236.5,758.22,0,246,435,77,503,44.88,143.87,5.27
General cargo ship,13.89,421.1,1332.58,15.86,519.72,739.93,57.1,2294.3,37.56,118.86,11.21
General cargo ship,13.47,304.7,976.87,0,273,693,11,329,98.51,315.83,3.09
Bulk carrier,5.34,4203.9,13427.83,6846.63,2732.1,2584.15,1264.93,4470,99.09,316.5,42.43
General cargo ship,17.96,224.9,705.72,0,316.81,316.77,72.14,670.5,38.85,121.91,5.79
Other ship types,30.04,492.8,1550,0,500.52,725.03,324.45,647.28,95.2,299.45,5.18
Chemical tanker,14.42,1663.61,5254.04,223.94,2153.91,2799.92,76.27,3869.7,46.84,147.93,35.52
Other ship types,NA,4397.1,14097.11,833.24,8695.31,3764.16,804.39,2059,203.12,651.2,21.65
Passenger ship,NA,13421.05,43027.88,33338.2,3792.69,2445.38,3451.62,5461,203.64,652.88,65.91
Container ship,29.43,95.64,303.6,0,164.7,122.33,16.58,188.8,129.42,410.83,0.74
Container ship,23.83,313.45,992.6,0,39.14,937.26,16.19,317,93.15,294.98,3.37
Bulk carrier,6,243,761.86,0,252,509,0,194.4,167.02,523.65,1.45
Bulk carrier,NA,210.1,666.76,0,286.52,358.76,21.48,668.2,64.15,203.57,3.28
General cargo ship,10.22,70.4,223.32,0,49.22,142.08,32.03,181,50.57,160.43,1.39
Other ship types,13.19,1870.5,5911.19,249.7,4374.41,1238.99,48.09,3465,80.61,254.76,23.2
Ro-pax ship,30.8,6139.26,19216.16,0,9101.63,9060.91,1053.62,4031.65,149.06,466.57,41.19
General cargo ship,9.8,300.9,953.92,0,208.05,699.7,46.17,669.13,49.43,156.71,6.09
General cargo ship,7.63,205.8,654.8,0,169,478,8,184.9,87.65,278.86,2.35
General cargo ship,17.79,3788,11931.98,5149.03,2607.72,3350,825.22,3704,86.82,273.48,43.63
Other ship types,36.85,486,1514.51,0,0,1514.51,0,433.1,98.64,307.4,4.93
General cargo ship,5.61,255.6,808.62,0,350.52,396.23,61.38,729.95,73.15,231.4,3.49
General cargo ship,5.16,2643.75,8434.16,6824.98,141.06,131.45,1336.66,3387,79.93,255,33.08
Refrigerated cargo carrier,12.9,519,1630.87,0,1226.91,260.64,143.3,393,84.98,267.05,6.11
Ro-pax ship,17.18,1707.3,5473.6,0,2001.19,2787.62,684.8,1563.75,112.34,360.17,15.2
Ro-pax ship,20.01,458.7,1462.58,474.52,601.35,377.73,8.98,169.5,278.25,887.22,1.65
Ro-pax ship,46.96,6802.62,21442.89,19887.85,0,0,1555.03,5669.88,88.88,280.16,76.54
Ro-ro ship,21.1,389.8,1225.62,0,468.05,468.05,289.5,400.8,141.17,443.86,2.76
Ro-pax ship,13.3,6292.43,19898,16180.82,0,0,3605.28,3872.8,112.07,354.4,56.15
General cargo ship,14.77,156.1,493.64,0,117,335,42,208.2,93.7,296.3,1.67
Ro-pax ship,39.04,3391.91,10766.67,7427.32,0,0,3339.35,2828.33,80.7,256.16,42.03
General cargo ship,16.35,271.1,858.09,0,213,564,81,435.7,59.83,189.39,4.53
Container ship,11.91,1351.23,4275,2173.73,1249.35,479.63,372.29,1315.34,91.81,290.47,14.72
Other ship types,8.61,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Other ship types,8.57,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Vehicle carrier,18.51,3902.44,12208.52,2139.88,7412,2489.12,167.52,4373.48,67.9,212.42,57.47
Ro-pax ship,39.97,10824.2,34040.42,26266.8,1168.4,1280.9,4774.7,3696,192.54,605.5,56.22
Ro-ro ship,19.9,4333.68,13537.77,0,6607.19,6664.35,266.19,4561,68.71,214.63,63.07
Other ship types,28.73,1222.2,3862.6,2272.87,233.56,1294.37,61.8,1254.7,82.37,260.32,14.84
Other ship types,NA,2458.33,7758,4752.12,0,0,3005.9,3350.39,105.68,333.49,23.26
Ro-pax ship,16.84,7825.32,24657.58,22763.38,0,0,1894.21,5556.18,112.94,355.88,69.29
Passenger ship,21.5,1237.99,3968.99,2223,531.33,881.43,333.23,4675.3,48.96,156.96,25.29
Ro-pax ship,26.93,2106.13,6686.61,5155.89,0,0,1530.75,2707.67,51.21,162.58,41.13
Refrigerated cargo carrier,36.46,1829.45,5836.39,0,2820.92,2092.23,923.23,2139.1,129.84,414.23,14.09
Ro-ro ship,19.9,4000.1,12480.71,0,6198.05,6093.83,188.83,4034.4,67.56,210.79,59.21
Ro-pax ship,42.4,10617.5,33246,29325.3,0,0,3920.7,3430,199.58,624.92,53.2
Ro-pax ship,29.66,13821.47,43046,0,20087.24,21895.81,1062.96,5792.07,147.88,460.57,93.46
Ro-pax ship,29.69,12759.32,39743.42,0,18008.7,20239.28,1495.4,5218.83,150.47,468.68,84.8
General cargo ship,14.15,230.01,726.37,0,431,269,27,426,67.91,214.46,3.39
Other ship types,NA,2220.32,7003.44,5304.79,0,0,1698.65,2986.13,85.49,269.65,25.97
Ro-pax ship,42.11,9286.3,29173.61,23936.7,0,0,5237.2,2984,195.67,614.71,47.46
Container ship,17.46,3571.68,11310.56,5838.19,2165.22,2044.84,1262.31,3554.55,101.41,321.13,35.22
Ro-pax ship,30.9,10965.9,34424.94,23323.6,3139.7,3109.7,4192.1,3516,178.8,561.31,61.33
Refrigerated cargo carrier,30.2,1037.6,3313.95,150.48,2095.31,1068.17,0,1726,77.44,247.33,13.4
Ro-pax ship,36.93,4910.88,15302.53,13952.01,0,0,1350.48,2060.78,147.17,458.6,33.37
Container ship,13.04,350.23,1105.43,416.71,483.32,166.74,38.66,406.5,77.25,243.84,4.53
Container ship,11.89,2284.05,7215.12,3695.23,399.68,2652.16,468.04,2737.63,73.61,232.52,31.03
General cargo ship,8.16,48.2,152.52,0,49.84,93.06,9.62,174,29.21,92.44,1.65
Other ship types,24.1,437.55,1385.65,81.75,374.58,437.03,492.29,924,62.26,197.17,7.03
Vehicle carrier,17.91,3196.58,10133.41,545.68,5432.88,3556.81,598.05,3725.09,68.46,217.02,46.69
Bulk carrier,14.19,37.45,118.9,0,37.16,54.8,26.93,80.8,55.85,177.33,0.67
Bulk carrier,11.19,183.5,588.31,0,256,292,40,546.4,42.33,135.72,4.33
Passenger ship,NA,8802.83,28221.86,6906.51,9741.54,9403.28,2170.57,3151.8,218.22,699.63,40.34
Container ship,13.04,1448.55,4579.26,1186.95,1077.52,2155.29,159.5,1836,79.38,250.95,18.25
Container ship,12.62,701.39,2216.69,533.77,558.35,1045.77,78.8,797,79.23,250.39,8.85
Ro-pax ship,5,2481.27,7954.94,576.4,0,5435,1943.5,1281.7,178.44,572.07,13.91
Ro-pax ship,41.35,4748.26,14961.79,12657.26,0,0,2304.54,4173.02,87.43,275.48,54.31
General cargo ship,7.41,259.4,819.82,187.16,261.42,323.98,47.26,425.42,52.49,165.88,4.94
General cargo ship,8.3,179,573.88,0,289.5,254.56,29.82,482.92,37.56,120.43,4.77
Container ship,16.96,462.67,1464.4,0,48.2,1385.42,30.78,422.8,121.88,385.77,3.8
Vehicle carrier,48.54,91.6,290.75,0,103.27,181.39,6.09,571.05,21.98,69.75,4.17
Ro-pax ship,21.46,10185.62,31832.49,27850.37,0,0,3982.12,3327.17,173.18,541.23,58.82
Container ship,17.2,10595.22,33510.17,7313.97,11658.31,12951.93,1585.95,4246.42,197.3,624.02,53.7
Ro-pax ship,36.48,10540,33213.08,31196.48,0,0,2016.29,5857,123.68,389.72,85.22
Other ship types,8.91,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Other ship types,8.23,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Other ship types,8.45,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Passenger ship,NA,11272.79,36140.56,23117.74,5744.13,5259.02,2019.66,5223.3,189.47,607.43,59.5
Other ship types,7.5,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Ro-pax ship,4.06,3926.66,12390.07,0,0,0,11983.28,54.9,5276.63,16649.74,0.74
Passenger ship,17.66,2382.56,7638.49,4901.24,1113.8,1028.78,594.68,5129.6,70.93,227.42,33.59
Ro-pax ship,25.29,14886.68,46948.79,45256.96,0,0,1691.82,6628.1,139.8,440.89,106.49
Ro-pax ship,11.5,1714.11,5495.44,4396.35,0,0,1099.09,3361.23,39.87,127.83,42.99
Ro-pax ship,36.42,12306,38779.23,32606.97,0,0,6170.77,6230,131.12,413.18,93.85
Ro-pax ship,29.78,10097.23,31545.42,27933.8,0,0,3611.62,3178.56,170.29,532.02,59.29
Ro-pax ship,24.64,7751.9,24191.33,111.65,11066.17,11617.62,1395.89,1580.98,241.68,754.21,32.08
Ro-pax ship,22.22,2707.98,8681.79,5792.38,0,0,2889.41,2322.5,90.13,288.96,30.05
Refrigerated cargo carrier,12.9,1750.5,5475.34,88.94,2108.99,3119.01,158.37,1577,78.18,244.53,22.39
Ro-pax ship,36.69,10073.26,32294.86,1180.16,13884.31,13934.63,3288.89,4202.47,158.86,509.29,63.41
Passenger ship,NA,1507.67,4833.59,3223.02,774.67,566.36,269.53,2100,93.2,298.81,16.18
Other ship types,8.55,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
General cargo ship,20.58,345.2,1088.54,0,157.98,866.46,64.09,694.25,46.39,146.28,7.44
Ro-pax ship,40.62,12095.8,37970.76,5454.8,14232.1,13686.5,2473.7,4031,184.19,578.21,65.67
Ro-pax ship,41.61,14307.05,45162.6,4271.39,19855.04,19208.85,1827.33,5476.4,165.08,521.09,86.67
Ro-pax ship,28.01,10874.39,33937.55,31375.67,0,0,2561.88,3832.5,162.87,508.31,66.77
Container ship,15.07,1577.77,4988.62,795.59,945.85,3074.02,173.15,1166,140.21,443.31,11.25
Other ship types,9.66,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Ro-pax ship,2.87,13788.07,43446.9,39568.36,0,0,3878.56,5072.14,179.2,564.68,76.94
Container ship,20.69,1449.68,4582.06,829.69,3448.54,184.05,119.78,650.7,167.99,530.97,8.63
Container ship,20.74,7339.83,23150.45,7223.08,4977.79,9959,990.58,3217,192.08,605.84,38.21
Container ship,20.74,10621.52,33538.13,7763.84,11866.46,12717.79,1190.03,4181.3,198.33,626.24,53.55
Ro-ro ship,26.97,1728.9,5542.86,4266.5,632.5,51.8,592.3,3490,47.55,152.46,36.36
Ro-pax ship,18,8986.4,28810.4,25700,0,0,3090,6580,132.93,426.19,67.6
General cargo ship,11.81,110,347.93,0,111.19,231.31,5.45,305.4,40.29,127.45,2.73
Refrigerated cargo carrier,25.61,874.58,2746.27,0,812.98,1927.13,6.16,667.5,84.52,265.41,10.35
Ro-pax ship,2.95,16842.25,53070.53,50227.55,0,0,2842.95,6268.14,178.31,561.86,94.45
Refrigerated cargo carrier,19.7,916.2,2878.56,104.84,706.14,1595.37,472.21,1605.5,52.23,164.1,17.54
Refrigerated cargo carrier,19.7,826.4,2604.87,414.08,1274.14,730.69,185.96,1763.75,47.02,148.21,17.58
Refrigerated cargo carrier,22,1012.6,3175.08,0,2024.99,923.22,226.86,2155.1,43.21,135.49,23.43
Refrigerated cargo carrier,22,955.1,3009.75,94.42,1340.38,1075.78,499.17,1715.3,47.94,151.07,19.92
Refrigerated cargo carrier,19.7,1004.6,3147.39,248.65,1436.16,1168.92,293.66,2090.02,43.91,137.57,22.88
Refrigerated cargo carrier,22,1330.1,4163.48,122.02,2180.45,1725.11,135.89,2847.5,41.98,131.41,31.68
Ro-ro ship,19.9,2110.75,6767.07,4719.97,596.99,829.49,620.62,5024,36.93,118.39,57.16
Other ship types,22.9,1788,5638.17,0,3985,1558,98,2617,46.89,147.85,38.13
Vehicle carrier,20.05,4649.65,14505.48,3356.05,5596.25,5025.23,527.94,5864,62.6,195.28,74.28
Refrigerated cargo carrier,18.35,613.1,1913.73,0,800.5,1005.67,107.56,862.3,69.29,216.28,8.85
General cargo ship,17.49,1037.99,3327.8,575.38,1110.41,1534.76,107.23,2624.64,38.69,124.04,26.83
Gas carrier,11.38,736.3,2299.38,0,721.06,463.99,1114.33,688.94,152.93,477.57,4.81
Container/ro-ro cargo ship,17.39,6530.56,20388.63,13993.36,2298.83,2472.56,1624.02,5354,92.86,289.9,70.33
Refrigerated cargo carrier,18.49,710.2,2228.63,0,1469,647.1,112.5,1267.6,44.38,139.28,16
Passenger ship,NA,8997.5,28210.18,6766.53,8722.97,8310.84,4409.85,2835.8,242.45,760.18,37.11
Ro-pax ship,17.28,4740.1,14969.31,13058.28,0,0,1911.1,4286.5,82.68,261.11,57.33
Refrigerated cargo carrier,20.46,501.6,1565.13,50.18,723.98,720.45,70.53,1036.74,40.75,127.15,12.31
Refrigerated cargo carrier,22,754.2,2362.43,105.85,1120.74,1067.55,68.29,1668.83,38.31,120,19.69
Refrigerated cargo carrier,19.7,1136.8,3571.04,126.2,1299.41,1941.36,204.08,2056.8,45.05,141.52,25.23
Refrigerated cargo carrier,16.26,1483.4,4660.85,111.06,3008.11,1275.34,266.35,1246.24,87.08,273.6,17.03
Refrigerated cargo carrier,16.26,664.65,2095.37,0,1469.4,412.15,213.81,391.7,107.78,339.77,6.17
Ro-ro ship,17.1,3924.8,12582.91,12060.65,0,0,520.01,5467.2,55.62,178.33,70.56
Ro-ro ship,17.1,2550.55,8177.07,7671,0,0,506.07,5193.6,41.12,131.84,62.03
General cargo ship,13.74,175.9,563.93,0,308.41,238.21,17.31,2156.59,46.13,147.89,3.81
Bulk carrier,9.78,992.36,3128.75,997.24,555.05,540.05,1036.41,1922.27,63.38,199.83,15.66
Bulk carrier,10.3,125,394.51,0,210.56,174.97,8.98,205,87.54,276.27,1.43
Other ship types,10.09,4993.1,16007.88,1607.49,6229.26,7624.83,546.3,3872.88,159.77,512.21,31.25
Other ship types,11.26,1796,5757.98,0,3222.99,2407.39,127.6,1179.5,180.21,577.76,9.97
Ro-ro ship,10.39,5149.62,16137.15,14567.5,0,0,1569.67,3937.68,104.4,327.14,49.33
Refrigerated cargo carrier,16.26,111.2,356.51,0,356.51,0,0,59.2,120.09,385,0.93
Passenger ship,NA,2298.89,7370.24,5782.44,675.89,448.39,463.52,1983.8,113.42,363.64,20.27
Passenger ship,NA,1402.97,4497.92,2605.74,1089.59,455.35,347.24,1099.1,112.92,362.03,12.42
Refrigerated cargo carrier,38.89,2241.9,7162.53,279.26,5049.03,1486.21,348.03,5233.75,112.37,359.02,19.95
Passenger ship,21.21,1382.89,4433.54,532.22,1126.65,1239.66,1535,2023.01,66.45,213.05,20.81
Bulk carrier,8.09,75.2,238.11,0,89,132,17,113,69.69,220.68,1.08
Refrigerated cargo carrier,17.45,602.8,1892.21,8.66,287.25,1273.47,322.84,664.92,73.41,230.43,8.21
Ro-pax ship,31.17,14128.27,45094,0,22264.1,20619.92,2209.99,5272.88,188.6,601.96,74.91
General cargo ship,16.36,1422.09,4559.22,471.28,2179.09,1751.44,157.41,3298.65,49.23,157.85,28.89
Bulk carrier,9.99,3879.42,12437.42,7137.84,1605.63,1611.27,2082.68,4707.7,68.99,221.19,56.23
Refrigerated cargo carrier,25.61,1849.02,5771.43,0,2308.03,3359.43,103.97,1373.87,85.17,265.84,21.71
Refrigerated cargo carrier,20.78,1870.3,5863.43,29.2,3939.8,1571,323.4,1786.2,67.86,212.75,27.56
Refrigerated cargo carrier,20.79,2308.1,7235.7,0,3328.4,3576.7,330.5,2560.6,57.46,180.13,40.17
Ro-pax ship,33.99,7280.41,22757.37,20245.48,0,0,2511.87,4087.87,118.67,370.94,61.35
Ro-ro ship,22.86,3203.91,10045.33,9094.22,80.32,181.91,688.9,5068.8,53.78,168.63,59.57
Ro-ro ship,17,2549.91,7998.68,7252.88,0,0,745.8,4627.1,47.31,148.39,53.9
Refrigerated cargo carrier,25.58,1328.3,4167.46,436.61,898.98,2533.8,298.08,1505.97,61.1,191.71,21.74
Refrigerated cargo carrier,25.62,1597.8,5013.95,185.16,2524.52,1791.94,512.32,1815.2,62.2,195.19,25.69
Refrigerated cargo carrier,29.66,1843.1,5772.92,357.28,2104.88,2985.68,325.08,1943.7,74.46,233.23,24.75
Refrigerated cargo carrier,36.29,1712.55,5381.06,500.2,2037.37,2352.03,491.45,1822.5,66.09,207.65,25.91
